pl_name,hostname,pl_letter,discoverymethod,pl_orbper,pl_rade,pl_masse,st_teff,st_rad,st_mass
"Kepler-32 c","Kepler-32","c","Transit",8.75208025000,1.98000000,,3791.00,0.574432,0.566709
"Kepler-32 c","Kepler-32","c","Transit",8.75200000000,2.02000000,7.70000000,,0.529000,0.566000
"Kepler-32 c","Kepler-32","c","Transit",8.75220000000,2.00000000,158.90000000,3900.00,0.530000,0.580000
"Kepler-32 c","Kepler-32","c","Transit",8.75220000000,2.00000000,,3793.00,0.530000,0.540000
"Kepler-32 c","Kepler-32","c","Transit",8.75209700000,,1.05000000,,0.574000,0.509000
"Kepler-32 c","Kepler-32","c","Transit",8.75210645000,2.20000000,,3727.00,0.500000,0.520000
"Kepler-32 c","Kepler-32","c","Transit",8.75209691000,1.83000000,,3731.00,0.498000,0.509000
"Kepler-32 c","Kepler-32","c","Transit",8.75210645000,2.37000000,,3903.00,0.540000,0.570000
"Kepler-32 c","Kepler-32","c","Transit",8.75210645000,2.20000000,,3727.00,0.500000,0.520000
"Kepler-32 c","Kepler-32","c","Transit",,2.11200000,,3731.00,0.574000,
"Kepler-32 c","Kepler-32","c","Transit",,2.02100000,,3801.00,0.529000,0.566000
"Kepler-32 c","Kepler-32","c","Transit",8.75200000000,1.94000000,,3787.00,0.506000,0.514000
"Kepler-32 c","Kepler-32","c","Transit",8.75209691000,,,3791.00,0.574432,0.566709
"Kepler-32 c","Kepler-32","c","Transit",8.75209700000,,1.29837000,,0.574000,0.509000
"Kepler-32 c","Kepler-32","c","Transit",8.75210645000,2.20000000,,3727.00,0.500000,0.520000
"Kepler-32 c","Kepler-32","c","Transit",8.75208271000,,,3791.00,0.574432,0.566709
"Kepler-32 c","Kepler-32","c","Transit",8.75216700000,1.99000000,,4061.00,0.524000,0.549000
"Kepler-259 c","Kepler-259","c","Transit",36.92495310000,2.71000000,,5926.00,0.887000,0.978000
"Kepler-259 c","Kepler-259","c","Transit",36.92515874000,,,5613.00,0.886966,0.990000
"Kepler-259 c","Kepler-259","c","Transit",36.92493100000,2.70000000,,5938.00,0.898000,
"Kepler-259 c","Kepler-259","c","Transit",36.92495310000,2.76000000,,5578.00,0.900000,0.930000
"Kepler-259 c","Kepler-259","c","Transit",36.92495310000,2.71000000,,5926.00,0.887000,0.978000
"Kepler-259 c","Kepler-259","c","Transit",36.92504090000,,,5613.00,0.886966,0.990000
"Kepler-259 c","Kepler-259","c","Transit",36.92514965830,,,5613.00,0.886966,0.990000
"Kepler-259 c","Kepler-259","c","Transit",36.92564000000,3.10000000,,5931.00,0.910000,1.015000
"Kepler-259 c","Kepler-259","c","Transit",,3.12000000,,5511.00,0.919000,
"Kepler-259 c","Kepler-259","c","Transit",36.92504090000,3.01000000,,5926.00,0.887000,0.978000
"Kepler-259 c","Kepler-259","c","Transit",36.92495310000,2.74100000,,5511.00,0.897000,0.867000
"Kepler-259 c","Kepler-259","c","Transit",36.92495310000,2.71000000,,5926.00,0.887000,0.978000
"Kepler-148 c","Kepler-148","c","Transit",4.18004955200,3.55000000,,5271.00,0.838000,0.893000
"Kepler-148 c","Kepler-148","c","Transit",4.18004979000,,,5019.00,0.850564,0.830000
"Kepler-148 c","Kepler-148","c","Transit",4.18004300000,3.60000000,,5272.00,0.851000,
"Kepler-148 c","Kepler-148","c","Transit",4.18004955200,3.46000000,,5172.00,0.810000,0.860000
"Kepler-148 c","Kepler-148","c","Transit",4.18004955200,3.55000000,,5271.00,0.838000,0.893000
"Kepler-148 c","Kepler-148","c","Transit",4.18004955200,3.55000000,,5271.00,0.838000,0.893000
"Kepler-148 c","Kepler-148","c","Transit",4.18004808100,,,5019.00,0.850564,0.830000
"Kepler-148 c","Kepler-148","c","Transit",4.18010570080,,,5019.00,0.850564,0.830000
"Kepler-148 c","Kepler-148","c","Transit",4.18006590000,3.10000000,,5187.00,0.780000,0.777000
"Kepler-148 c","Kepler-148","c","Transit",4.18004808100,3.44000000,,5227.00,0.838000,0.876000
"Kepler-148 c","Kepler-148","c","Transit",,3.33900000,,5225.00,0.815000,
"Kepler-222 d","Kepler-222","d","Transit",28.08194365000,3.75000000,,5431.00,0.843000,0.945000
"Kepler-222 d","Kepler-222","d","Transit",28.08194365000,3.56300000,,5315.00,0.801000,0.933000
"Kepler-222 d","Kepler-222","d","Transit",28.08185982000,3.63000000,,5431.00,0.843000,0.945000
"Kepler-222 d","Kepler-222","d","Transit",28.08196251000,,,5154.00,0.850048,0.870000
"Kepler-222 d","Kepler-222","d","Transit",28.08194365000,3.75000000,,5431.00,0.843000,0.945000
"Kepler-222 d","Kepler-222","d","Transit",28.08185982000,,,5154.00,0.850048,0.870000
